"name","link"
"Household Batteries","https://www.jumia.com.gh/household-batteries/?shipped_from=country_local"
"Household Cleaning","https://www.jumia.com.gh/household-cleaning/?shipped_from=country_local"
"Household Supplies","https://www.jumia.com.gh/household-supplies/?shipped_from=country_local"
"Jams, Jellies & Sweet Spreads","https://www.jumia.com.gh/jams-jellies-sweet-spread/?shipped_from=country_local"
"Laundry","https://www.jumia.com.gh/laundry-supplies/?shipped_from=country_local"
"Lighters & Matches","https://www.jumia.com.gh/grocery-mathces-fire-lighters/?shipped_from=country_local"
"Paper & Plastic","https://www.jumia.com.gh/paper-plastic-household-supplies/?shipped_from=country_local"
"Tobacco-Related Products","https://www.jumia.com.gh/tobacco-related-products/?shipped_from=country_local"
"Toiletries","https://www.jumia.com.gh/toiletries-products/?shipped_from=country_local"
"Baby & Child Care","https://www.jumia.com.gh/baby-health-child-care/?shipped_from=country_local"
"Beauty & Personal Care","https://www.jumia.com.gh/beauty-styling-products/?shipped_from=country_local"
"Fragrances","https://www.jumia.com.gh/health-beauty-fragrances/?shipped_from=country_local"
"Health Care","https://www.jumia.com.gh/health-care/?shipped_from=country_local"
"Kid's Beauty","https://www.jumia.com.gh/kids-beauty/?shipped_from=country_local"
"Medical Supplies & Equipment","https://www.jumia.com.gh/medical-supplies-equipment/?shipped_from=country_local"
"Men's Grooming","https://www.jumia.com.gh/mens-grooming-products/?shipped_from=country_local"
"Oral Care","https://www.jumia.com.gh/oral-care/?shipped_from=country_local"
"Personal Care","https://www.jumia.com.gh/personal-care/?shipped_from=country_local"
"Sexual Wellness","https://www.jumia.com.gh/fertility-sexual-wellness/?shipped_from=country_local"
